Solvent,Smiles,MolWt,LogP,TPSA,HDonors,HAcceptors,RotatableBonds,RingCount,AromaticRings,FractionCSP3,Heteroatoms,Extraction_Power
Acetic anhydride,CC(=O)OC(=O)C,102.089,0.096,43.37,0,3,0,0,0,0.5,3,0.149
Ethyl acetate,O=C(OCC)C,88.106,0.569,26.3,0,2,1,0,0,0.75,2,0.158
Methyl ethyl ketone,O=C(C)CC,72.107,0.985,17.07,0,1,1,0,0,0.75,1,0.166
2-Nitropropane,CC(C)[N+](=O)[O-],89.094,0.672,43.14,0,2,1,0,0,1,3,0.167
Benzene,c1ccccc1,78.114,1.687,0,0,0,0,1,1,0,0,0.184
Acetic anhydride,CC(=O)OC(=O)C,102.089,0.096,43.37,0,3,0,0,0,0.5,3,0.191
Dimethyl sulfoxide,CS(=O)C,78.136,-0.005,17.07,0,1,0,0,0,1,2,0.192
Chlorobenzene,Clc1ccccc1,112.559,2.34,0,0,0,0,1,1,0,1,0.201
Ethyl acetate,O=C(OCC)C,88.106,0.569,26.3,0,2,1,0,0,0.75,2,0.206
Benzyl alcohol,C1=CC=C(C=C1)CO,108.14,1.179,20.23,1,1,1,1,1,0.143,1,0.21
Vinyl acetate,C=COC(C)=O,86.09,0.693,26.3,0,2,1,0,0,0.25,2,0.231
1-Nitropropane,CCC[N+](=O)[O-],89.094,0.673,43.14,0,2,2,0,0,1,3,0.232
"1,1,2,2-Tetrabromoethane",C(C(Br)Br)(Br)Br,345.654,3.218,0,0,0,1,0,0,1,4,0.254
Benzyl alcohol,C1=CC=C(C=C1)CO,108.14,1.179,20.23,1,1,1,1,1,0.143,1,0.256
Methyl ethyl ketone,O=C(C)CC,72.107,0.985,17.07,0,1,1,0,0,0.75,1,0.287
Chlorobenzene,Clc1ccccc1,112.559,2.34,0,0,0,0,1,1,0,1,0.303
1-Nitropropane,CCC[N+](=O)[O-],89.094,0.673,43.14,0,2,2,0,0,1,3,0.307
Trichloroethylene,Cl\C=C(/Cl)Cl,131.389,2.502,0,0,0,0,0,0,0,3,0.318
Acetonitrile,CC#N,41.053,0.53,23.79,0,1,0,0,0,0.5,1,0.332
Acetophenone,CC(=O)C1=CC=CC=C1,120.151,1.889,17.07,0,1,1,1,1,0.125,1,0.335
Furfuryl alcohol,c1cc(oc1)CO,98.101,0.772,33.37,1,2,1,1,1,0.2,2,0.344
"1,2,3-trichloropropane",ClCC(Cl)CCl,147.432,2.071,0,0,0,2,0,0,1,3,0.347
N-Methyl-2-pyrrolidone,CN1CCCC1=O,99.133,0.239,20.31,0,1,0,1,0,0.8,2,0.347
Acetophenone,CC(=O)C1=CC=CC=C1,120.151,1.889,17.07,0,1,1,1,1,0.125,1,0.352
3-Chloroaniline,C1=CC(=CC(=C1)Cl)N,127.574,1.922,26.02,1,1,0,1,1,0,2,0.357
Trichloroethylene,Cl\C=C(/Cl)Cl,131.389,2.502,0,0,0,0,0,0,0,3,0.363
o-Toluidine,CC1=CC=CC=C1N,107.156,1.577,26.02,1,1,0,1,1,0.143,1,0.364
"N,N-Dimethylacetamide",CN(C)C(C)=O,87.122,0.095,20.31,0,1,0,0,0,0.75,2,0.369
"N,N-Dimethylformamide",CN(C)C=O,73.095,-0.296,20.31,0,1,1,0,0,0.667,2,0.374
Vinyl acetate,C=COC(C)=O,86.09,0.693,26.3,0,2,1,0,0,0.25,2,0.379
Acetonitrile,CC#N,41.053,0.53,23.79,0,1,0,0,0,0.5,1,0.391
Phenol,C1=CC=C(C=C1)O,94.113,1.392,20.23,1,1,0,1,1,0,1,0.391
"1,2,3-trichloropropane",ClCC(Cl)CCl,147.432,2.071,0,0,0,2,0,0,1,3,0.403
N-Methyl-2-pyrrolidone,CN1CCCC1=O,99.133,0.239,20.31,0,1,0,1,0,0.8,2,0.41
Nitromethane,C[N+](=O)[O-],61.04,-0.107,43.14,0,2,0,0,0,1,3,0.431
Nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-],123.111,1.595,43.14,0,2,1,1,1,0,3,0.435
"1,4-Dioxane",O1CCOCC1,88.106,0.033,18.46,0,2,0,1,0,1,2,0.451
"1,1,2-Trichloroethane",ClCC(Cl)Cl,133.405,2.029,0,0,0,1,0,0,1,3,0.453
Pyridine,C1=CC=NC=C1,79.102,1.082,12.89,0,1,0,1,1,0,1,0.453
"N,N-Dimethylformamide",CN(C)C=O,73.095,-0.296,20.31,0,1,1,0,0,0.667,2,0.463
"1,2-Dichloroethane",ClCCCl,98.96,1.464,0,0,0,1,0,0,1,2,0.478
"N,N-Dimethylacetamide",CN(C)C(C)=O,87.122,0.095,20.31,0,1,0,0,0,0.75,2,0.486
"1,4-Dioxane",O1CCOCC1,88.106,0.033,18.46,0,2,0,1,0,1,2,0.553
Nitromethane,C[N+](=O)[O-],61.04,-0.107,43.14,0,2,0,0,0,1,3,0.563
3-Chloroaniline,C1=CC(=CC(=C1)Cl)N,127.574,1.922,26.02,1,1,0,1,1,0,2,0.572
o-Toluidine,CC1=CC=CC=C1N,107.156,1.577,26.02,1,1,0,1,1,0.143,1,0.588
